# T,mean_norm_err,std_norm_err
1.000000000000000000e+00,7.362212311147388333e-02,4.473096481748725650e-02
5.000000000000000000e+02,9.340223893783685880e-04,5.133708141170850248e-04
1.000000000000000000e+03,7.364729175055571581e-04,3.244870452856746094e-04
2.000000000000000000e+03,5.320308833957098412e-04,2.932237755631691414e-04
3.000000000000000000e+03,4.339775158303693539e-04,2.700649143726393262e-04
4.000000000000000000e+03,3.810651428046351805e-04,2.458612212740064382e-04
5.000000000000000000e+03,3.133709367209049882e-04,2.262192943709349056e-04
6.000000000000000000e+03,2.698257431189070256e-04,1.813768434421541653e-04
7.000000000000000000e+03,2.518082186032141560e-04,1.304563690281482485e-04
8.000000000000000000e+03,2.459811762734715021e-04,1.235529273207083931e-04
9.000000000000000000e+03,2.427918796480277720e-04,1.334376587067028473e-04
1.000000000000000000e+04,2.416539202168408362e-04,1.290436104341912771e-04
2.000000000000000000e+04,1.663098813838475892e-04,1.008837294924857760e-04
3.000000000000000000e+04,1.463241960746909653e-04,8.181270417243865687e-05
4.000000000000000000e+04,1.174835379557389421e-04,5.749037899913679573e-05
5.000000000000000000e+04,9.930983887499905433e-05,5.141660932949819793e-05
6.000000000000000000e+04,8.510382495342569517e-05,4.155395371916250930e-05
7.000000000000000000e+04,6.938800831533848302e-05,3.316574366123292033e-05
8.000000000000000000e+04,6.813793255740213791e-05,3.479348385878978998e-05
9.000000000000000000e+04,6.649717312179958075e-05,3.492468274005606599e-05
1.000000000000000000e+05,6.840005966726397739e-05,3.640788665532389479e-05
