# T,mean_diam,std_diam
1.000000000000000000e+01,2.242822115717541820e+01,4.031061216606306452e+00
1.000000000000000000e+02,4.841812145560745684e+00,1.317745741516408220e+00
2.000000000000000000e+02,2.349334025050154651e+00,6.267846607898437394e-01
3.000000000000000000e+02,1.386188792464403630e+00,5.332867534629942563e-01
4.000000000000000000e+02,1.065933271482156997e+00,3.535576832330299402e-01
5.000000000000000000e+02,8.536459346422514693e-01,3.548709809048047892e-01
6.000000000000000000e+02,6.062588578700308650e-01,3.274912873267357694e-01
7.000000000000000000e+02,4.328585321201116609e-01,1.430317941175464624e-01
8.000000000000000000e+02,4.178634102792052607e-01,1.313660732017059019e-01
9.000000000000000000e+02,3.795280276616636028e-01,1.324722580663502958e-01
1.000000000000000000e+03,3.660628212190092934e-01,1.343467743078011201e-01
2.000000000000000000e+03,2.479218251431722364e-01,1.159063814482021310e-01
3.000000000000000000e+03,1.738927194239669460e-01,7.207603735032508396e-02
4.000000000000000000e+03,1.262007199697818272e-01,4.402894940586783712e-02
5.000000000000000000e+03,1.102102895395344478e-01,3.955776166158812140e-02
6.000000000000000000e+03,9.841462033768785811e-02,3.612701934198289666e-02
7.000000000000000000e+03,9.502208410505290359e-02,3.255509970462152486e-02
8.000000000000000000e+03,8.478102913783644445e-02,3.749988528204400984e-02
9.000000000000000000e+03,7.319776551615189697e-02,3.925545199736189816e-02
1.000000000000000000e+04,6.582544794397168775e-02,3.339356277141843077e-02
1.500000000000000000e+04,3.765343384323417697e-02,1.481882529749722552e-02
2.000000000000000000e+04,2.309700978670104626e-02,8.737222886895650020e-03
2.500000000000000000e+04,1.796151555921698950e-02,7.364531815104691757e-03
3.000000000000000000e+04,1.403343153128241462e-02,7.409822960996058708e-03
