# T,mean_diam,std_diam
1.000000000000000000e+01,1.283804750921146720e+01,8.210478469507467736e+00
1.000000000000000000e+02,7.433436514391258410e-01,2.955461975150532328e-01
2.000000000000000000e+02,3.104947043829040521e-01,1.437222633851939768e-01
3.000000000000000000e+02,1.846634291021944929e-01,8.315102661780894577e-02
4.000000000000000000e+02,1.516925694210478071e-01,7.842807361697969049e-02
5.000000000000000000e+02,1.291180847704261336e-01,7.202151834638420569e-02
6.000000000000000000e+02,9.425804931181623603e-02,4.568039989317993627e-02
7.000000000000000000e+02,8.084361740478269998e-02,3.055847123243116484e-02
8.000000000000000000e+02,7.846071497563973651e-02,2.969301326257748827e-02
9.000000000000000000e+02,6.491671541486734864e-02,1.877367277510482574e-02
1.000000000000000000e+03,6.330729484865674217e-02,1.960704934518712680e-02
2.000000000000000000e+03,3.568423364782550428e-02,1.632352871460109739e-02
3.000000000000000000e+03,2.467947324814019974e-02,9.319029222226115489e-03
4.000000000000000000e+03,1.897435381883495753e-02,4.449622574717147436e-03
5.000000000000000000e+03,1.694794386590042432e-02,4.170920211552455077e-03
6.000000000000000000e+03,1.476493745080757758e-02,5.151699513240319203e-03
7.000000000000000000e+03,1.391184980926430358e-02,4.624521204134401584e-03
8.000000000000000000e+03,1.239485322903043259e-02,5.648268866224362764e-03
9.000000000000000000e+03,1.024725612040042547e-02,5.991340999603002315e-03
1.000000000000000000e+04,9.072063712508409913e-03,4.994791180105291085e-03
1.500000000000000000e+04,5.072431372467394242e-03,1.738759759833312466e-03
2.000000000000000000e+04,3.545669025925548591e-03,1.448464874589621429e-03
2.500000000000000000e+04,2.383661758773354938e-03,8.367824408146858593e-04
3.000000000000000000e+04,1.957846807099777701e-03,9.033087166811644116e-04
