# T,mean_norm_err,std_norm_err
1.000000000000000000e+00,5.106704225319993323e-02,2.681295535721391933e-03
5.000000000000000000e+02,3.970527308877089224e-04,2.120016852111541116e-04
1.000000000000000000e+03,2.376093740671851671e-04,1.970231914852207738e-04
2.000000000000000000e+03,1.146090114950193867e-04,5.571887387540416564e-05
3.000000000000000000e+03,1.129434519719155205e-04,7.847789331837399986e-05
4.000000000000000000e+03,8.643565693183864773e-05,4.902456706834222442e-05
5.000000000000000000e+03,7.281698042916872064e-05,4.786557648464506498e-05
6.000000000000000000e+03,8.096023034551024140e-05,4.270234042831264065e-05
7.000000000000000000e+03,7.773626641891681036e-05,3.874407100135045641e-05
8.000000000000000000e+03,7.349411278184271438e-05,4.390178259157772179e-05
9.000000000000000000e+03,7.460212411976901623e-05,4.624563570147130996e-05
1.000000000000000000e+04,7.074371332533031906e-05,4.135984422216819415e-05
2.000000000000000000e+04,5.053493275969618353e-05,3.338625910613517004e-05
3.000000000000000000e+04,3.727056537117235096e-05,2.278061642924452765e-05
4.000000000000000000e+04,2.889618048625375258e-05,1.248735912749333204e-05
5.000000000000000000e+04,2.445607086874243807e-05,9.487777820951694496e-06
6.000000000000000000e+04,2.250971104057671599e-05,9.501612594682252381e-06
7.000000000000000000e+04,1.812143124313423840e-05,7.601390864395979934e-06
8.000000000000000000e+04,1.993482332731464621e-05,6.853241910338529074e-06
9.000000000000000000e+04,1.994125091777812991e-05,8.604942648313669107e-06
1.000000000000000000e+05,2.074372922016809689e-05,8.972993605386117311e-06
