# T,mean_norm_err,std_norm_err
1.000000000000000000e+00,9.999721755335746476e-01,6.848363468681961877e-07
5.000000000000000000e+02,1.125511615249550831e-02,6.840425842928183654e-03
1.000000000000000000e+03,7.009741665237606209e-03,2.931028889086117681e-03
2.000000000000000000e+03,4.578932441858671147e-03,2.300554701414523045e-03
3.000000000000000000e+03,4.007458584359667626e-03,2.392039197160696073e-03
4.000000000000000000e+03,4.382132207307413811e-03,2.029864458037846080e-03
5.000000000000000000e+03,4.141994970153429351e-03,2.354830194158993601e-03
6.000000000000000000e+03,3.725555196857213008e-03,1.930297751929340930e-03
7.000000000000000000e+03,3.572879361064519588e-03,2.027847860104203728e-03
8.000000000000000000e+03,3.228167309420498007e-03,1.729189360646412373e-03
9.000000000000000000e+03,3.010399038037501508e-03,1.750552745108103526e-03
1.000000000000000000e+04,2.765481718444012804e-03,1.601633603509678956e-03
2.000000000000000000e+04,1.929941002213702867e-03,1.169258193123050597e-03
3.000000000000000000e+04,1.604607565993864272e-03,8.275125520735694511e-04
3.000200000000000000e+04,1.602427397361556871e-03,8.230493086369021277e-04
