# T,mean_diam,std_diam
1.000000000000000000e+01,1.521876974813162953e+01,3.232301277775564863e+00
1.000000000000000000e+02,1.385367235469449509e+00,6.053265819691765470e-01
2.000000000000000000e+02,4.895931963607991766e-01,1.727910835723004412e-01
3.000000000000000000e+02,2.713393749684326339e-01,1.119137168669167293e-01
4.000000000000000000e+02,2.057460598406280483e-01,8.131374096707461030e-02
5.000000000000000000e+02,1.649083117457249004e-01,7.904237417723090908e-02
6.000000000000000000e+02,1.116701948313616743e-01,6.374423914833673988e-02
7.000000000000000000e+02,7.624163335871211866e-02,2.544711783503507754e-02
8.000000000000000000e+02,7.548964620667875103e-02,2.514901690240083088e-02
9.000000000000000000e+02,6.878532667611518547e-02,2.660062564889788261e-02
1.000000000000000000e+03,6.828237538148436425e-02,2.670750287635594369e-02
2.000000000000000000e+03,4.602874288213774229e-02,2.283996180012545438e-02
3.000000000000000000e+03,3.197596206547511505e-02,1.368644495653192038e-02
4.000000000000000000e+03,2.426807990336413146e-02,1.037890267105381036e-02
5.000000000000000000e+03,1.974487873053882431e-02,5.978282332348080173e-03
6.000000000000000000e+03,1.723602798468359606e-02,5.919144871072125336e-03
7.000000000000000000e+03,1.640169901681349379e-02,5.288594643380194367e-03
8.000000000000000000e+03,1.551925317774202097e-02,5.816524800415581037e-03
9.000000000000000000e+03,1.393783981937140280e-02,6.339454111852928404e-03
1.000000000000000000e+04,1.194836369534016049e-02,6.434798508010802949e-03
1.500000000000000000e+04,6.277541878909412461e-03,2.278388262926065149e-03
2.000000000000000000e+04,3.906352476493929471e-03,1.084997973004569799e-03
2.500000000000000000e+04,3.100367917317918380e-03,1.064287907795722623e-03
3.000000000000000000e+04,2.358919775081248001e-03,9.560940569417037370e-04
